word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
de  ,4,369294,35,8,12925290,1477176,,
la  ,4,231160,31,8,7165960,924640,,
le ,3,201192,23,6,4627416,603576,,
les ,4,172027,27,8,4644729,688108,,
et ,3,162818,23,6,3744814,488454,,
a ,2,142169,14,4,1990366,284338,,
est ,4,139273,27,8,3760371,557092,,"7,49280790781827"
en ,3,131424,25,6,3285600,394272,,
des ,4,128016,27,8,3456432,512064,,
d ,2,106690,17,4,1813730,213380,,
un ,3,98321,25,6,2458025,294963,,
il ,3,86530,27,6,2336310,259590,,
du ,3,81566,23,6,1876018,244698,,
une ,4,77779,31,8,2411149,311116,,
qui ,4,63007,38,8,2394266,252028,,
dans ,5,62106,30,10,1863180,310530,,
pour ,5,59206,46,10,2723476,296030,,
par ,4,55637,34,8,1891658,222548,,
au ,3,46340,20,6,926800,139020,,
que ,4,45724,34,8,1554616,182896,,
plus ,5,41215,36,10,1483740,206075,,
sont ,5,40154,36,10,1445544,200770,,
se ,3,35559,22,6,782298,106677,,
c ,2,34853,16,4,557648,69706,,
sur ,4,34442,33,8,1136586,137768,,
ou ,3,31878,26,6,828828,95634,,
on ,3,30509,27,6,823743,91527,,
son ,4,30237,31,8,937347,120948,,
pas ,4,29643,27,8,800361,118572,,
ce ,3,29011,22,6,638242,87033,,
s ,2,28036,16,4,448576,56072,,
elle ,5,27267,34,10,927078,136335,,
avec ,5,26472,31,10,820632,132360,,
qu ,3,25763,28,6,721364,77289,,
mais ,5,25550,34,10,868700,127750,,
ne ,3,24536,25,6,613400,73608,,
comme ,6,22075,42,12,927150,132450,,
n ,2,21546,19,4,409374,43092,,
sa ,3,18696,18,6,336528,56088,,
ils ,4,17444,31,8,540764,69776,,
ont ,4,17423,32,8,557536,69692,,
ete ,4,17041,29,8,494189,68164,,
y ,2,16352,22,4,359744,32704,,
aux ,4,16302,29,8,472758,65208,,
tres ,5,16228,38,10,616664,81140,,
aussi ,6,15694,38,12,596372,94164,,
ses ,4,15661,26,8,407186,62644,,
cette ,6,15351,38,12,583338,92106,,
fait ,5,14532,36,10,523152,72660,,
peut ,5,13949,38,10,530062,69745,,
leur ,5,13586,40,10,543440,67930,,
deux ,5,13274,38,10,504412,66370,,
etre ,5,13146,40,10,525840,65730,,
meme ,5,12315,36,10,443340,61575,,
etait ,6,11616,40,12,464640,69696,,
entre ,6,11581,47,12,544307,69486,,
je ,3,11517,21,6,241857,34551,,
france ,7,10672,49,14,522928,74704,,
apres ,6,10577,44,12,465388,63462,,
autres ,7,10414,46,14,479044,72898,,
pays ,5,10308,37,10,381396,51540,,
ces ,4,10300,26,8,267800,41200,,
ans ,4,10179,25,8,254475,40716,,
lui ,4,10160,33,8,335280,40640,,
o ,2,9817,20,4,196340,19634,,
alors ,6,9631,42,12,404502,57786,,
faire ,6,9379,48,12,450192,56274,,
si ,3,9322,26,6,242372,27966,,
tout ,5,9271,36,10,333756,46355,,
j ,2,9028,15,4,135420,18056,,
bien ,5,8969,38,10,340822,44845,,
donc ,5,8648,36,10,311328,43240,,
ville ,6,8242,45,12,370890,49452,,
sous ,5,8064,34,10,274176,40320,,
monde ,6,7979,44,12,351076,47874,,
roi ,4,7628,41,8,312748,30512,,
nom ,4,7508,33,8,247764,30032,,
guerre ,7,7165,60,14,429900,50155,,
siecle ,7,7152,47,14,336144,50064,,
tous ,5,7150,35,10,250250,35750,,
partie ,7,7136,55,14,392480,49952,,
plusieurs ,10,6946,73,20,507058,69460,,
depuis ,7,6924,52,14,360048,48468,,
dont ,5,6896,37,10,255152,34480,,
contre ,7,6824,53,14,361672,47768,,
beaucoup ,9,6674,56,18,373744,60066,,
ainsi ,6,6582,45,12,296190,39492,,
leurs ,6,6562,44,12,288728,39372,,
pendant ,8,6537,53,16,346461,52296,,
puis ,5,6508,41,10,266828,32540,,
grand ,6,6287,45,12,282915,37722,,
car ,4,6265,29,8,181685,25060,,
peu ,4,6180,33,8,203940,24720,,
avoir ,6,6113,50,12,305650,36678,,
grande ,7,6074,51,14,309774,42518,,
t ,2,6042,17,4,102714,12084,,
tu ,3,5996,23,6,137908,17988,,
egalement ,10,5973,63,20,376299,59730,,
sans ,5,5962,29,10,172898,29810,,
nord ,5,5949,43,10,255807,29745,,
sud ,4,5944,27,8,160488,23776,,
souvent ,8,5906,55,16,324830,47248,,
francais ,9,5880,59,18,346920,52920,,
avant ,6,5756,35,12,201460,34536,,
exemple ,8,5715,59,16,337185,45720,,
cela ,5,5619,29,10,162951,28095,,
encore ,7,5618,54,14,303372,39326,,
jusqu ,6,5599,41,12,229559,33594,,
fois ,5,5568,41,10,228288,27840,,
temps ,6,5539,42,12,232638,33234,,
eau ,4,5501,26,8,143026,22004,,
premier ,8,5399,71,16,383329,43192,,
elles ,6,5315,38,12,201970,31890,,
nous ,5,5290,37,10,195730,26450,,
vers ,5,5257,40,10,210280,26285,,
dire ,5,5243,44,10,230692,26215,,
autre ,6,5155,42,12,216510,30930,,
vie ,4,5033,35,8,176155,20132,,
mort ,5,5033,42,10,211386,25165,,
trois ,6,4965,50,12,248250,29790,,
avait ,6,4938,38,12,187644,29628,,
m ,2,4929,18,4,88722,9858,,
premiere ,9,4885,77,18,376145,43965,,
moins ,6,4855,47,12,228185,29130,,
certains ,9,4815,61,18,293715,43335,,
annees ,7,4804,44,14,211376,33628,,
cet ,4,4792,27,8,129384,19168,,
peuvent ,8,4739,58,16,274862,37912,,
paris ,6,4580,48,12,219840,27480,,
fin ,4,4441,36,8,159876,17764,,
quand ,6,4420,42,12,185640,26520,,
personnes ,10,4306,74,20,318644,43060,,
vous ,5,4254,37,10,157398,21270,,
etaient ,8,4244,53,16,224932,33952,,
lieu ,5,4206,39,10,164034,21030,,
ai ,3,4152,24,6,99648,12456,,
doit ,5,4141,40,10,165640,20705,,
terre ,6,4134,51,12,210834,24804,,
trouve ,7,4133,55,14,227315,28931,,
etat ,5,4129,30,10,123870,20645,,
e ,2,4058,18,4,73044,8116,,
faut ,5,4051,32,10,129632,20255,,
nombreux ,9,4048,68,18,275264,36432,,
soit ,5,4037,39,10,157443,20185,,
vikidia ,8,4014,60,16,240840,32112,,
quelques ,9,4005,65,18,260325,36045,,
chaque ,7,4001,49,14,196049,28007,,
annee ,6,3983,40,12,159320,23898,,
europe ,7,3982,58,14,230956,27874,,
environ ,8,3972,68,16,270096,31776,,
non ,4,3971,34,8,135014,15884,,
devient ,8,3965,58,16,229970,31720,,
fut ,4,3909,30,8,117270,15636,,
saint ,6,3907,40,12,156280,23442,,
enfants ,8,3894,50,16,194700,31152,,
existe ,7,3881,52,14,201812,27167,,
etats ,6,3856,34,12,131104,23136,,
celui ,6,3828,43,12,164604,22968,,
selon ,6,3821,42,12,160482,22926,,
cas ,4,3800,22,8,83600,15200,,
ci ,3,3762,26,6,97812,11286,,
pouvoir ,8,3692,71,16,262132,29536,,
famille ,8,3687,53,16,195411,29496,,
forme ,6,3674,50,12,183700,22044,,
lors ,5,3644,40,10,145760,18220,,
fils ,5,3609,38,10,137142,18045,,
va ,3,3583,21,6,75243,10749,,
empire ,7,3559,60,14,213540,24913,,
place ,6,3539,38,12,134482,21234,,
nombre ,7,3534,53,14,187302,24738,,
partir ,7,3507,60,14,210420,24549,,
francaise ,10,3506,65,20,227890,35060,,
hui ,4,3495,37,8,129315,13980,,
aujourd ,8,3487,53,16,184811,27896,,
permet ,7,3471,55,14,190905,24297,,
histoire ,9,3413,75,18,255975,30717,,
toutes ,7,3380,46,14,155480,23660,,
notamment ,10,3369,64,20,215616,33690,,
mer ,4,3366,35,8,117810,13464,,
royaume ,8,3360,61,16,204960,26880,,
jours ,6,3343,44,12,147092,20058,,
grace ,6,3343,43,12,143749,20058,,
habitants ,10,3290,59,20,194110,32900,,
cours ,6,3260,45,12,146700,19560,,
jour ,5,3258,40,10,130320,16290,,
me ,3,3237,24,6,77688,9711,,
homme ,6,3232,47,12,151904,19392,,
armee ,6,3220,43,12,138460,19320,,
toujours ,9,3200,63,18,201600,28800,,
petit ,6,3191,47,12,149977,19146,,
region ,7,3179,62,14,197098,22253,,
unis ,5,3165,39,10,123435,15825,,
celle ,6,3159,38,12,120042,18954,,
discussion ,11,3156,74,22,233544,34716,,
pres ,5,3147,42,10,132174,15735,,
h ,2,3115,21,4,65415,6230,,
sera ,5,3114,35,10,108990,15570,,
politique ,10,3111,81,20,251991,31110,,
km ,3,3101,22,6,68222,9303,,
surtout ,8,3087,57,16,175959,24696,,
ne ,3,3058,25,6,76450,9174,,
epoque ,7,3047,57,14,173679,21329,,
effet ,6,3043,43,12,130849,18258,,
gouvernement ,13,3037,95,26,288515,39481,,
animaux ,8,3033,54,16,163782,24264,,
debut ,6,3019,37,12,111703,18114,,
cependant ,10,3018,63,20,190134,30180,,
ouest ,6,2997,41,12,122877,17982,,
mars ,5,2986,35,10,104510,14930,,
age ,4,2958,28,8,82824,11832,,
louis ,6,2947,45,12,132615,17682,,
mai ,4,2914,30,8,87420,11656,,
toute ,6,2905,42,12,122010,17430,,
afin ,5,2886,38,10,109668,14430,,
population ,11,2880,81,22,233280,31680,,
compte ,7,2868,50,14,143400,20076,,
pere ,5,2868,44,10,126192,14340,,
te ,3,2851,23,6,65573,8553,,
juin ,5,2850,38,10,108300,14250,,
hommes ,7,2849,51,14,145299,19943,,
eux ,4,2837,33,8,93621,11348,,
president ,10,2820,75,20,211500,28200,,
voir ,5,2805,48,10,134640,14025,,
mois ,5,2804,40,10,112160,14020,,
suite ,6,2791,43,12,120013,16746,,
nombreuses ,11,2788,73,22,203524,30668,,
nouveau ,8,2785,54,16,150390,22280,,
corps ,6,2756,48,12,132288,16536,,
parfois ,8,2751,63,16,173313,22008,,
octobre ,8,2732,57,16,155724,21856,,
ile ,4,2730,33,8,90090,10920,,
cest ,5,2727,31,10,84537,13635,,
ceux ,5,2718,37,10,100566,13590,,
millions ,9,2717,67,18,182039,24453,,
groupe ,7,2712,60,14,162720,18984,,
republique ,11,2712,84,22,227808,29832,,
pourquoi ,9,2711,80,18,216880,24399,,
certaines ,10,2701,67,20,180967,27010,,
dit ,4,2699,32,8,86368,10796,,
janvier ,8,2682,58,16,155556,21456,,
reste ,6,2673,44,12,117612,16038,,
septembre ,10,2648,68,20,180064,26480,,
nouvelle ,9,2641,62,18,163742,23769,,
grands ,7,2632,49,14,128968,18424,,
des ,4,2626,27,8,70902,10504,,
trop ,5,2618,45,10,117810,13090,,
ensuite ,8,2614,56,16,146384,20912,,
personne ,9,2608,70,18,182560,23472,,
chez ,5,2602,42,10,109284,13010,,
quatre ,7,2587,52,14,134524,18109,,
origine ,8,2580,72,16,185760,20640,,
la ,3,2559,19,6,48621,7677,,
r ,2,2550,23,4,58650,5100,,
allemagne ,10,2546,59,20,150214,25460,,
empereur ,9,2519,73,18,183887,22671,,
article ,8,2515,55,16,138325,20120,,
appelle ,8,2496,54,16,134784,19968,,
general ,8,2495,57,16,142215,19960,,
eu ,3,2492,24,6,59808,7476,,
b ,2,2477,15,4,37155,4954,,
font ,5,2476,39,10,96564,12380,,
jeu ,4,2464,27,8,66528,9856,,
